P80 (micras),TONS/DIA  HUMEDAS,% HUMEDAD,TONS/DIA  SECAS,HORAS,TONS/Hr  SECAS,Gcab-Au,Gcab-Ag,Gcab-Pb,Gcab-Zn,Gcab-Cu,Gcab-Fe,Gcab-As,Gcab-Pb ox,Gcab-Zn ox,Gcab-PbS,Gcab-PbO,Gcab-ZnS,Gcab-ZnO,GC-Au,GC-Ag,GC-Pb,GC-Zn,GC-Cu,GC-Fe,GC-As,R-Au,R-Ag,R-Pb,R-Zn,R-Cu,R-Fe,R-As,GC-Pb ox,GC-Zn ox,GC-PbS,GC-PbO,GC-ZnS,GC-ZnO,COMPOSITO DÍA,,Gcu-Au,Gcu-Ag,Gcu-Pb,Gcu-Zn,Gcu-Cu,Gcu-Fe,Gcu-As,Rcu-Au,Rcu-Ag,Rcu-Pb,Rcu-Zn,Rcu-Cu,Rcu-Fe,Rcu-As,GCzn-Au,GCzn-Ag,GCzn-Pb,GCzn-Zn,GCzn-Cu,GCzn-Fe,GCzn-As,Rzn-Au,Rzn-Ag,Rzn-Pb,Rzn-Zn,Rzn-Cu,Rzn-Fe,Rzn-As,GPb-Au,GPb-Ag,GPb-Pb,GPb-Zn,GPb-Cu,GPb-Fe,GPb-As,RPb-Au,RPb-Ag,RPb-Pb,RPb-Zn,RPb-Cu,RPb-Fe,RPb-As,GPb-Pb ox,GPb-Zn ox,GPb-PbS,GPb-PbO,GPb-ZnS,GPb-ZnO
169,964,2,946,7.33,128.99,0.19,33,1.28,2.27,0.21,3.1,0.03,0.11,0.04,91.41,8.59,98.2,1.76,0.12,7,0.18,0.21,0.04,2.9,0.03,55.01,17.06,13.25,8.72,19.29,88.28,91.48,0.1,0.06,44.44,55.56,71.4,28.57,0.16,1.52,2,647,4,5.22,30.9,25.6,0.02,1.56,2.68,0.5,0.37,23.58,1.33,0.1,0.26,142,3.06,51.3,1.03,5.3,0.02,4.77,13.85,9.01,85.21,18.49,6.46,2.44,4.3,1389,53.5,7.01,4.39,6.6,0.1,38.66,66.4,77.24,5.71,38.63,3.94,5.98,0.7,0.03,98.69,1.31,99.6,0.43
171,1700,2,1664,8,208.02,0.33,36,1.11,2.15,0.22,3.1,0.05,0.32,0.2,71.17,28.83,90.7,9.3,0.18,10,0.11,0.22,0.08,3,0.05,45.4,20.6,9.38,9.69,35.61,88.2,88.32,0.23,0.16,-109.09,209.09,27.3,72.73,0.08,1.41,5.36,589,3.22,19.3,23.7,20.3,0.02,1.21,1.09,0.25,0.76,9.23,0.54,0.03,0.84,234,4.62,46,1.42,6.6,0.08,7.18,16.34,13.36,68.67,20.91,6.58,4.79,8.5,1396,41.9,22,3.66,7.4,0.18,46.2,61.97,77.01,20.88,34.25,4.69,6.85,0.83,0.04,98.02,1.98,99.8,0.18
166,1600,2,1572,8,196.56,0.22,35,1.05,2.03,0.2,2.8,0.05,0.18,0.11,82.86,17.14,94.6,5.42,0.12,6,0.16,0.23,0.05,2.6,0.06,53.45,15.08,14.51,10.79,22.85,88.07,92.68,0.14,0.1,12.5,87.5,56.5,43.48,0.23,3.55,5.1,525,1.64,3.48,28.6,27.1,0.02,5.39,3.13,0.35,0.39,32.32,2.18,0.07,0.34,178,3.44,54.4,0.99,5.8,0.06,4.94,14.6,10.18,83.26,15.38,6.41,3.02,5.35,1760,54.4,7.8,4.07,6.5,0.18,36.21,67.2,74.96,5.56,29.44,3.35,4.22,1.57,0.07,97.11,2.89,99.1,0.9
171,1626,2,1593,8,199.14,0.17,43,0.95,1.9,0.29,3.3,0.04,0.13,0.07,86.32,13.68,96.3,3.68,0.06,6,0.12,0.27,0.04,2.7,0.04,35.1,12.81,11.99,13.48,12.76,84.86,88.21,0.07,0.05,41.67,58.33,81.5,18.52,0.42,6.64,2.1,611,3.46,2.42,29.9,27.6,0.04,5.4,5.73,1.52,0.53,42.97,3.81,0.39,0.2,158,2.34,49.8,1.18,6.1,0.06,3.64,10.49,7.27,77.37,12.01,5.96,4.12,5.2,1810,43.2,9.4,5.37,9.3,0.18,55.86,70.96,79.23,8.62,32.26,5.37,7.29,0.95,0.05,97.8,2.2,99.5,0.53
164,1560,2,1526,6.67,228.96,0.19,36,0.85,1.77,0.24,2.4,0.02,0.08,0.04,90.59,9.41,97.7,2.26,0.03,4,0.11,0.16,0.02,2.2,0.02,26.1,10.73,12.35,8.63,9.75,86.58,91.87,0.07,0.05,36.36,63.64,68.8,31.25,0.38,5.76,1.8,665,3.82,2.52,31.6,28.3,0.02,6.19,7.05,1.7,0.54,50.72,4.4,0.36,0.14,167,3.78,52.9,1.22,5,0.02,3.66,13.46,12.75,85.7,14.89,5.91,2.76,5.4,1880,47.8,6.98,4.45,5.8,0.08,64.06,68.77,73.2,5.13,24.65,3.11,5.01,1.23,0.04,97.43,2.57,99.4,0.57
169,1232,2,1212,6.67,181.78,0.31,47,1.22,2.38,0.32,3.5,0.03,0.09,0.05,92.62,7.38,97.9,2.1,0.15,11,0.09,0.22,0.08,3.3,0.03,37.24,19.9,6.9,8.65,23.68,86.68,85.01,0.05,0.05,44.44,55.56,77.3,22.73,0.37,4.54,6,707,5.36,8.92,29,21,0.02,5.96,5.12,1.64,1.4,33.93,2.21,0.23,0.37,137,2.02,51.6,1.05,6,0.04,3.55,9.58,5.99,78.43,11.87,6.09,4.38,8.2,1382,42.6,11.2,3.99,7.3,0.14,53.25,65.4,85.46,11.52,30.52,5.02,10.38,1.04,0.03,97.56,2.44,99.7,0.27
166,1620,2,1587,8,198.43,0.18,37,0.98,1.72,0.21,3.2,0.03,0.14,0.1,85.71,14.29,94.2,5.81,0.1,8,0.16,0.18,0.04,3.3,0.04,45.8,20.4,15.6,10,18.6,90.5,92.3,0.11,0.09,31.25,68.75,50,50,0.15,2.4,5.6,882,3.66,3.14,32.1,26.5,0.02,4.07,3.58,0.57,0.28,23.15,1.15,0.07,0.3,129,1.76,49.9,0.9,5.7,0.04,4.05,9.72,5.06,81.67,12.06,4.61,2.73,5.7,1468,45.8,8.24,5.75,7.7,0.12,46.13,66.28,78.81,8.08,46.17,3.73,4.9,0.93,0.06,97.97,2.03,99.3,0.73
163,1610,2,1574,8,196.8,0.12,38,0.9,1.77,0.18,2.3,0.02,0.19,0.07,78.89,21.11,96,3.95,0.1,7,0.2,0.2,0,2.2,0,48.4,19.1,15.9,8.1,20.7,88.8,91.8,0.11,0.07,26.67,73.33,53.3,46.67,0.17,2.72,1.7,752,3.48,1.86,32.8,28.5,0.02,2.48,3.72,0.67,0.18,31.5,2.08,0.17,0.13,141,2.16,54,0.87,4.5,0.02,3.16,11.63,6.92,87.98,13.94,5.48,2.77,4,1684,50.6,4.87,4.48,6.3,0.08,45.94,65.52,76.48,3.74,33.86,3.62,5.23,0.94,0.04,98.14,1.86,99.2,0.82
169,1690,2,1654,8,206.74,0.2,35,0.87,1.73,0.23,2.8,0.03,0.19,0.1,78.16,21.84,94.2,5.78,0.12,6,0.18,0.17,0.06,2.6,0.03,59.2,17.08,19.75,9.38,24.49,88.23,91.73,0.15,0.1,16.67,83.33,41.2,58.82,0.31,5.19,1.55,653,4.34,2.04,29.5,27.2,0.04,2.51,6.11,1.57,0.37,40.27,3.04,0.4,0.33,129,1.98,49.5,1.12,5.9,0.04,4.97,11.22,6.64,83.49,14.21,6.12,3.74,5,1706,48.6,9.07,3.75,5.7,0.1,33.31,65.59,72.04,6.76,21.03,2.61,4.13,1.51,0.07,96.89,3.11,99.2,0.77
172,1572,2,1536,8,191.95,0.09,39,0.99,2.12,0.19,2.5,0.04,0.09,0.06,90.91,9.09,97.2,2.83,0.06,5,0.14,0.19,0.03,2.3,0.03,49.63,12.23,13.41,8.5,15.97,86.06,90.85,0.07,0.06,50,50,68.4,31.58,0.26,4.05,1.4,651,1.94,1.66,31.7,27.8,0.02,3.22,4.43,0.52,0.21,43.99,2.89,0.17,0.26,100,1.62,52.2,0.89,5.8,0.04,7.99,9.09,5.77,86.75,16.5,8.06,4.5,3.2,2052,56.7,6.87,3.19,5.4,0.1,39.15,74.25,80.31,4.54,23.54,2.99,4.48,0.82,0.03,98.55,1.45,99.6,0.44
