P80 (micras),TONS/DIA  HUMEDAS,% HUMEDAD,TONS/DIA  SECAS,HORAS,TONS/Hr  SECAS,Gcab-Au,Gcab-Ag,Gcab-Pb,Gcab-Zn,Gcab-Cu,Gcab-Fe,Gcab-As,Gcab-Pb ox,Gcab-Zn ox,Gcab-PbS,Gcab-PbO,Gcab-ZnS,Gcab-ZnO,GC-Au,GC-Ag,GC-Pb,GC-Zn,GC-Cu,GC-Fe,GC-As,R-Au,R-Ag,R-Pb,R-Zn,R-Cu,R-Fe,R-As,GC-Pb ox,GC-Zn ox,GC-PbS,GC-PbO,GC-ZnS,GC-ZnO,COMPOSITO DÍA,,Gcu-Au,Gcu-Ag,Gcu-Pb,Gcu-Zn,Gcu-Cu,Gcu-Fe,Gcu-As,Rcu-Au,Rcu-Ag,Rcu-Pb,Rcu-Zn,Rcu-Cu,Rcu-Fe,Rcu-As,GCzn-Au,GCzn-Ag,GCzn-Pb,GCzn-Zn,GCzn-Cu,GCzn-Fe,GCzn-As,Rzn-Au,Rzn-Ag,Rzn-Pb,Rzn-Zn,Rzn-Cu,Rzn-Fe,Rzn-As,GPb-Au,GPb-Ag,GPb-Pb,GPb-Zn,GPb-Cu,GPb-Fe,GPb-As,RPb-Au,RPb-Ag,RPb-Pb,RPb-Zn,RPb-Cu,RPb-Fe,RPb-As,GPb-Pb ox,GPb-Zn ox,GPb-PbS,GPb-PbO,GPb-ZnS,GPb-ZnO
169,312,2,305,6,50.85,0.34,44,1.15,1.95,0.32,3.6,0.04,0.19,0.08,83.48,16.52,95.9,4.1,0.19,6,0.15,0.23,0.04,3.4,0.04,52.56,14.18,12.34,11.16,12.68,88.81,90.96,0.14,0.11,6.67,93.33,52.2,47.83,0.55,1.67,8.1,773,5.7,7.42,29.3,24.2,0.04,12.99,10.59,2.72,2.09,50.08,3.66,0.53,0.62,199,3.24,49.1,1.79,5.6,0.06,5.76,15.79,8.95,79.99,17.71,4.91,4.58,6,1454,53.4,8.06,3.83,5.8,0.1,28.7,59.43,75.99,6.76,19.52,2.62,3.93,1.2,0.07,97.75,2.25,99.1,0.87
163,1115,2,1093,7,156.19,0.16,36,0.89,1.51,0.26,2.9,0.03,0.1,0.07,88.76,11.24,95.4,4.64,0.07,7,0.14,0.2,0.04,2.8,0.03,47.42,18.36,15.07,12.69,15.11,88.78,92.25,0.08,0.04,42.86,57.14,80,20,0.49,5.37,5.3,809,8.26,6.66,26,24.1,0.06,18.41,10.88,4.56,2.17,49.13,3.92,0.95,0.33,212,4.66,46.8,1.84,6.2,0.04,6.12,15.22,13.73,81.29,18.56,5.38,3.37,3.7,1892,55.3,5.42,4.17,5.4,0.1,28.05,55.54,66.64,3.85,17.2,1.92,3.44,1.27,0.04,97.7,2.3,99.3,0.74
165,1681,2,1640,5.33,307.42,0.15,29,0.67,1.23,0.15,2.7,0.06,0.13,0.07,80.6,19.4,94.3,5.69,0.06,6,0.14,0.21,0.03,2.5,0.05,40.95,18.47,20.22,16.52,20.64,90.6,89.9,0.08,0.06,42.86,57.14,71.4,28.57,0.16,2.59,13.7,1016,15.2,4.92,26.5,21.7,0.04,15.28,5.11,3.59,0.63,27.93,1.29,0.12,0.46,158,2.82,44.3,1.47,7.2,0.18,7,10.84,9.08,77.67,21.13,5.82,7.21,5.6,2213,48.3,6.84,4.88,6.6,0.16,36.78,65.57,67.12,5.18,30.29,2.3,2.77,1.01,0.07,97.91,2.09,99,1.02
164,1606,2,1569,7.33,213.92,0.24,42,0.96,1.42,0.28,2.9,0.05,0.11,0.07,88.54,11.46,95.1,4.93,0.13,6,0.17,0.22,0.02,2.8,0.05,50.16,13.23,16.98,14.86,7.88,88.8,93.64,0.08,0.06,52.94,47.06,72.7,27.27,0.56,8.77,4.55,789,3.48,2.86,31.9,26,0.06,10.23,10.14,2.03,1.13,63.7,4.81,0.66,0.46,142,2.42,51.4,1.55,5.6,0.06,4.05,7.14,5.52,79.2,12.11,4.05,2.56,6.6,2257,54.1,5.1,3.41,5.3,0.12,35.56,69.49,75.47,4.81,16.31,2.35,3.14,1.13,0.06,97.91,2.09,98.8,1.18
187,1601,2,1562,7.33,212.96,0.2,31,0.74,1.67,0.24,3,0.03,0.13,0.1,82.43,17.57,94,5.99,0.12,5,0.08,0.22,0.04,2.9,0.03,56.67,12.34,10.37,12.64,15.19,89.94,94.07,0.09,0.07,-12.5,112.5,68.2,31.82,0.49,7.65,6.9,866,6.68,4.04,28.6,26.6,0.04,16.64,10.92,4.42,1.19,58.4,4.21,0.64,0.35,177,4.7,53.2,1.31,5,0.02,4.54,12,16.75,83.99,14.39,4.26,1.72,4.95,2768,55.7,4,3.17,5.4,0.12,22.15,64.74,68.46,2.18,12.01,1.59,3.57,1.35,0.03,97.58,2.42,99.3,0.75
172,1428,2,1393,5,278.6,0.14,39,0.84,2.18,0.27,2.7,0.04,0.15,0.1,82.14,17.86,95.4,4.59,0.06,3,0.11,0.1,0.03,2.6,0.04,39.13,6.63,12.39,4.34,9.46,86.74,94.93,0.07,0.07,36.36,63.64,30,70,0.52,7.24,6.3,901,6.1,2.42,32.7,25.6,0.02,22.58,10.94,3.78,0.58,62.97,4.69,0.26,0.1,145,2.38,54.8,1.16,5,0.02,2.54,12.47,10.44,92.6,15.83,6.49,1.85,4.4,2542,52.3,4.6,2.69,5,0.1,35.75,69.97,73.4,2.49,11.74,2.08,2.96,1.3,0.04,97.51,2.49,99.1,0.87
161,1655,2,1622,8,202.69,0.14,29,0.77,1.7,0.16,2.5,0.03,0.11,0.05,85.71,14.29,97.1,2.94,0.06,4,0.14,0.21,0.04,2.4,0.03,45.8,14.3,17.5,11.9,24.7,90.6,95.5,0.07,0.05,50,50,76.2,23.81,0.13,2.07,8.8,822,2.94,5.26,30.3,26.9,0.02,8.92,3.91,0.49,0.4,24.22,1.35,0.08,0.2,94,2.58,54.4,1.02,5.5,0.02,4.19,9.25,8.86,84.65,16.86,5.71,1.75,5.15,1934,55.9,5.18,5.44,5.9,0.08,41.13,72.51,73.15,3.07,34.26,2.33,2.67,1.12,0.04,98,2,99.2,0.77
166,1651,2,1620,8,202.49,0.21,32,0.78,1.65,0.22,2.8,0.02,0.11,0.05,85.9,14.1,97,3.03,0.11,6,0.1,0.2,0.06,2.6,0.02,53.9,18.7,12.3,11.6,27,90,89.1,0.1,0.06,0,100,70,30,0.27,4.4,3.35,650,1.78,9.74,26.6,25.1,0.04,4.65,5.73,0.62,1.6,32.87,2.46,0.5,0.27,105,2.16,53.1,1.11,5.4,0.04,3.45,8.52,6.93,80.54,12.63,4.87,4.65,6,1666,50.3,8.26,4.86,6,0.1,38.04,67.1,80.14,6.22,27.45,2.69,5.77,1.3,0.07,97.42,2.58,99.2,0.85
165,790,2,775,7,110.65,0.18,37,0.8,1.85,0.23,2.8,0.03,0.11,0.05,86.25,13.75,97.3,2.7,0.1,5,0.1,0.1,0,2.5,0,39.7,13,9.5,5.1,17.8,86.2,91.8,0.06,0.04,25,75,60,40,0.46,3.54,3.9,776,8.22,5.88,23.9,24.3,0.06,10.62,9.68,4.69,1.45,47.45,4.02,0.88,0.26,99,1.78,52.5,0.85,5.9,0.02,4.71,8.2,6.75,86.12,11.21,6.49,1.95,5.4,1814,45.3,9.66,3.88,6.5,0.12,44.96,69.14,79.04,7.29,23.55,3.29,5.39,0.76,0.07,98.32,1.68,99.3,0.72
171,1507,2,1477,8,184.63,0.14,31,0.88,1.81,0.18,2.9,0.03,0.08,0.05,90.91,9.09,97.2,2.76,0.07,4,0.11,0.13,0.05,2.7,0.03,47.28,10.96,11.94,6.86,24.41,89.05,89.31,0.08,0.06,27.27,72.73,53.8,46.15,0.15,2.18,4.45,783,2.9,2.76,32,29,0.02,4.64,3.31,0.49,0.22,26.19,1.48,0.09,0.26,139,2.28,53.1,0.99,6.3,0.06,5.51,11.94,7.76,87.84,16.47,6.51,5.6,4.5,1923,52.5,6.86,4.43,6.4,0.12,42.57,73.79,79.82,5.07,32.93,2.96,5,0.89,0.09,98.3,1.7,98.7,1.31
190,1555,2,1525,8,190.68,0.21,38,0.9,1.65,0.19,2.8,0.03,0.06,0.04,93.33,6.67,97.6,2.42,0.08,6,0.1,0.18,0.03,2.5,0.03,37.49,15.5,10.62,10.42,17.1,86.12,87.54,0.05,0.04,50,50,77.8,22.22,0.23,3.49,8.25,967,5.84,5.72,29.5,25.9,0.04,9.25,5.97,1.48,0.79,35.49,2.13,0.28,0.54,107,2.02,49.1,0.93,8.2,0.08,7.19,7.85,6.09,80.78,13.29,8.03,6.63,6.2,1726,48.6,8.72,4.28,6.8,0.12,46.07,70.68,81.81,8.01,34.13,3.71,5.55,0.76,0.06,98.44,1.56,99.3,0.69
187,1600,2,1568,8,196.02,0.17,38,1.01,1.98,0.21,3,0.02,0.08,0.05,92.08,7.92,97.5,2.53,0.05,8,0.1,0.17,0.05,2.7,0.02,25.03,18.88,9.37,8.13,21.63,86.22,77.98,0.07,0.05,30,70,70.6,29.41,0.15,2.28,3,645,3.1,2.76,31.5,27.1,0.02,2.31,2.34,0.45,0.2,21.82,1.33,0.14,0.48,138,2.6,47.8,1.06,7.2,0.08,8.95,12.12,9.07,85.06,17.78,8.56,13.66,7.1,1576,48.3,7.72,4.8,6.8,0.1,63.71,66.66,81.11,6.61,38.77,3.89,8.22,0.64,0.05,98.67,1.33,99.4,0.65
162,1548,2,1519,8,189.87,0.14,36,0.86,1.82,0.21,2.9,0.03,0.08,0.06,90.7,9.3,96.7,3.3,0.05,4,0.06,0.12,0.02,2.7,0.03,35.49,11.59,6.65,6.28,10.89,88.27,89.9,0.06,0.05,0,100,58.3,41.67,0.39,5.91,1.7,672,5,2.42,31.4,28.6,0.02,4.92,7.95,2.26,0.52,58.14,3.82,0.24,0.26,110,1.86,53.1,0.83,5.2,0.04,5.74,9.92,6.41,86.5,11.72,5.29,3.73,5.2,1669,52.4,8.78,2.91,5.5,0.14,53.85,70.55,84.68,6.7,19.26,2.62,6.12,1,0.05,98.09,1.91,99.4,0.57
163,1600,2,1570,8,196.23,0.13,42,1.32,2.38,0.21,2.7,0.02,0.08,0.03,93.94,6.06,98.7,1.26,0.03,3,0.13,0.2,0.02,2.4,0.02,31.95,6.92,9.23,7.87,9.81,82.93,83.88,0.05,0.03,61.54,38.46,85,15,0.36,5.59,0.81,667,1.56,1.84,31.2,29.6,0.02,3.28,5.85,0.42,0.28,52.92,3.89,0.32,0.23,79,1.6,50.8,0.74,6.5,0.04,10.63,7.9,4.93,86.73,14.32,9.74,7.28,2.5,1692,59.2,6.4,2.53,4.9,0.1,54.14,79.33,85.43,5.12,22.95,3.44,8.53,0.76,0.03,98.72,1.28,99.5,0.47
172,1649,2,1619,8,202.37,0.18,46,1.13,1.84,0.26,3.3,0.03,0.08,0.08,92.92,7.08,95.7,4.35,0.09,8,0.15,0.16,0.04,3.1,0.02,52.5,17.43,12.61,8.26,13.89,87.99,87.48,0.07,0.06,53.33,46.67,62.5,37.5,0.61,9.86,1.7,823,8.6,2.62,29.2,27.8,0.02,6.36,11.5,4.64,0.87,68.43,5.06,0.56,0.13,121,2.98,53.6,0.83,5.6,0.02,2.33,8.12,7.72,85.23,9.34,4.89,2.69,4.4,1911,59,7.22,1.51,4.8,0.14,38.81,62.96,75.03,5.64,8.35,2.06,9.26,0.75,0.02,98.73,1.27,99.7,0.28
161,1654,2,1621,7.33,221.02,0.32,51,1.1,2.13,0.26,3.4,0.02,0.15,0.1,86.36,13.64,95.3,4.69,0.15,5,0.19,0.17,0.07,3.2,0.02,55.77,10.37,16.3,7.53,23.96,87.29,85.59,0.14,0.11,26.32,73.68,35.3,64.71,0.32,5.14,1.5,569,1.7,4,29.4,27.1,0.04,1.87,3.97,0.49,0.6,35.88,2.48,0.58,0.24,174,2.8,50.7,1.07,5.9,0.02,3.12,12.61,8.39,78.47,13.57,5.62,2.99,5,1668,41.3,14.32,3.47,8,0.12,39.24,73.05,74.81,13.4,26.59,4.61,10.84,0.98,0.07,97.63,2.37,99.5,0.49
167,1600,2,1569,6.33,247.74,0.21,47,1.22,2.2,0.29,3.3,0.03,0.08,0.05,93.44,6.56,97.7,2.27,0.03,4,0.14,0.16,0.04,3,0.02,19.21,8.03,10.81,6.85,13,87.59,90.6,0.07,0.04,50,50,75,25,0.2,3.12,5.2,1291,2.72,7.5,32.5,23.5,0.02,7.03,5.47,0.44,0.68,22.28,1.45,0.19,0.18,155,2.68,53.7,1.08,5.2,0.02,4.36,11.78,7.84,87.08,13.29,5.75,3.43,5.1,1752,49.3,5.92,7.45,8.4,0.06,69.4,74.72,80.91,5.39,51.43,5.21,5.78,1,0.03,97.97,2.03,99.5,0.51
165,1594,3,1554,8,194.25,0.26,39,0.89,1.74,0.23,3.2,0.03,0.09,0.08,89.89,10.11,95.4,4.6,0.17,13,0.24,0.25,0.09,3.1,0.03,62.39,29.81,25.87,13.79,37.96,90.88,92.6,0.08,0.12,66.67,33.33,52,48,0.23,3.58,2.9,738,9.5,3.08,29.5,26.7,0.02,2.56,4.07,2.46,0.41,29.59,1.88,0.15,0.27,173,2.44,52.7,1.28,5.6,0.04,2.7,10.8,7.16,79.08,14.53,4.47,3.36,7,1915,47.5,9.68,3.41,7.5,0.1,32.36,55.32,64.51,6.72,17.92,2.77,3.89,1.1,0.05,97.68,2.32,99.5,0.52
169,1677,2,1640,8,204.94,0.19,30,1.12,2.19,0.14,2.5,0.03,0.12,0.08,89.29,10.71,96.3,3.65,0.05,3,0.13,0.26,0.02,2.2,0.03,19.65,9.68,11.01,11.26,12.19,85.67,88.88,0.08,0.07,38.46,61.54,73.1,26.92,0.19,3.14,17.3,1075,17.3,3.75,24.9,21.5,0.08,13.71,7,2.96,0.33,34.03,1.69,0.48,0.29,116,4.26,50.5,1.13,6.6,0.04,4.26,13.99,13.48,81.75,28.62,9.61,4.43,10.6,1435,57.2,10.27,2.48,5.2,0.14,62.38,69.34,72.55,6.66,25.16,3.03,6.21,0.87,0.04,98.48,1.52,99.6,0.39
176,1306,2,1277,7.67,166.6,0.22,42,0.98,1.78,0.26,3.6,0.03,0.17,0.07,82.65,17.35,96.1,3.93,0.12,7,0.14,0.23,0.05,3.3,0.03,46.27,16.39,13.6,12.31,18.31,89.02,88.8,0.12,0.07,14.29,85.71,69.6,30.43,0.29,3.64,6.3,875,2.42,5.04,29.7,23.7,0.02,7.27,6.14,0.7,0.81,32.58,1.91,0.18,0.39,225,5.7,47.4,1.57,6.4,0.06,4.83,16.91,17.78,81.38,18.45,5.54,5.7,7.2,1725,46.6,6.86,5.58,8.7,0.12,41.63,60.57,67.92,5.5,30.65,3.52,5.33,0.81,0.05,98.26,1.74,99.3,0.73
167,1654,2,1616,8,201.99,0.18,39,1.01,1.94,0.22,3.2,0.04,0.12,0.13,88.12,11.88,93.3,6.7,0.1,4,0.14,0.21,0.04,3,0.03,47.45,9.67,13.16,10.28,16.4,87.24,85.98,0.08,0.05,42.86,57.14,76.2,23.81,0.36,5.76,3.7,804,1.94,1.8,31.5,26.1,0.02,6.59,7.3,0.68,0.33,51.05,2.85,0.22,0.55,123,2.46,49.9,1.2,7.5,0.08,9.15,10.43,8.11,85.66,18.16,7.65,8.04,5.4,2092,57.8,5.31,2.32,5.4,0.14,36.8,72.61,78.04,3.73,14.38,2.26,5.76,0.86,0.03,98.51,1.49,99.4,0.56
162,1614,0,1583,8,197.87,0.19,46,1.05,1.71,0.29,3,0.03,0.08,0.07,92.38,7.62,95.9,4.09,0.07,6,0.08,0.17,0.05,2.6,0.02,27.14,12.6,7.24,9.44,17.68,85.7,82.82,0.07,0.07,12.5,87.5,58.8,41.18,0.38,6.08,1.7,529,2.6,4.95,30.5,25.7,0.02,2.67,4.49,0.95,1.11,40.39,3.43,0.33,0.37,176,3.38,48.4,1.28,6,0.04,4.01,10.32,8.53,75.04,11.7,5.52,4.62,8.1,1640,43.7,12.31,4.38,7.7,0.14,66.18,72.58,83.28,14.4,30.22,5.35,12.22,1.11,0.05,97.46,2.54,99.6,0.41
160,1704,2,1664,6.67,249.59,0.35,36,0.99,1.8,0.21,3.3,0.04,0.33,0.15,66.67,33.33,91.7,8.33,0.21,9,0.31,0.49,0.08,3.1,0.04,63.86,23.69,30.12,26.18,36.18,91.76,91.8,0.19,0.11,38.71,61.29,77.6,22.45,0.23,3.9,4.7,683,2.08,13.74,26.8,22.9,0.04,3.48,4.38,0.49,1.79,29.88,1.65,0.22,0.38,143,1.92,48.5,1.17,5.6,0.06,2.51,8.18,4.06,56.34,11.65,3.6,2.99,6.4,1563,43.4,18.95,3.14,6.5,0.14,30.15,63.75,65.33,15.69,22.28,2.98,4.98,0.74,0.03,98.29,1.71,99.8,0.16
170,1680,2,1644,6.67,246.54,0.2,45.3,1.21,2.43,0.23,2.9,0.05,0.11,0.05,90.91,9.09,97.9,2.06,0.07,6,0.16,0.26,0.03,2.6,0.04,31.24,13.74,12.44,10.06,12.68,85.1,84.5,0.09,0.06,43.75,56.25,76.9,23.08,0.31,5.05,5.7,817,4.32,3.3,32.3,26.3,0.04,8.31,6.12,1.1,0.42,43.18,2.81,0.28,0.58,78,1.88,54.9,0.67,6.1,0.06,10.31,7.11,5.82,84.63,10.91,7.95,5.05,5.6,1589,51.7,6.3,4.05,6.3,0.24,50.14,73.03,80.64,4.89,33.24,4.14,10.17,0.83,0.03,98.39,1.61,99.5,0.48
167,1625,2,1593,8,199.08,0.19,37,1.09,1.97,0.22,3,0.03,0.11,0.07,89.91,10.09,96.4,3.55,0.04,6,0.15,0.22,0.05,2.7,0.03,19.81,16.58,13.04,10.58,19.38,86.71,85.93,0.09,0.05,40,60,77.3,22.73,0.25,3.95,1.85,554,3.62,2.12,31.5,26.3,0.02,2.4,4.01,0.82,0.27,35.5,2.21,0.15,0.29,108,1.5,48.6,1.22,6.9,0.08,5.22,10.84,4.74,84.95,19.1,8.05,8.33,9,1524,57.5,5.36,3.71,5.8,0.12,72.57,68.57,81.4,4.2,26.02,3.03,5.6,0.8,0.02,98.61,1.39,99.6,0.37
170,1600,2,1569,8,196.07,0.17,41,1.24,2,0.22,3,0.04,0.1,0.07,91.94,8.06,96.5,3.5,0.07,5,0.13,0.17,0.03,2.8,0.03,40.77,11.9,9.88,8.01,11.14,85.53,84.95,0.07,0.05,46.15,53.85,70.6,29.41,0.37,5.82,3.15,935,13.4,2.44,25.1,23.6,0.06,7.22,8.76,4.01,0.45,42.34,2.84,0.67,0.26,106,2.24,49.5,0.93,5.7,0.06,5.49,9.14,6.17,84.57,14.44,6.31,6.16,3.85,1422,50.7,7.13,3.61,8.4,0.14,46.51,70.2,79.94,6.97,32.08,5.32,8.22,0.49,0.02,99.03,0.97,99.7,0.28
176,1543,2,1514,7.33,206.46,0.19,40,1.35,2.14,0.24,3.1,0.03,0.08,0.03,94.07,5.93,98.6,1.4,0.09,4,0.14,0.2,0.04,2.8,0.03,44.72,9.76,9.76,8.8,14.52,86.37,89.3,0.07,0.04,50,50,80,20,0.36,5.5,2.7,710,3.86,2.21,32,26.6,0.02,5.17,6.68,1.04,0.37,48.41,3.16,0.23,0.25,118,3.34,50.3,1,5.9,0.04,4.76,11.05,8.94,84.9,15.05,6.98,4.57,4.6,1497,58,6.79,2.83,5.7,0.1,45.35,72.5,80.26,5.93,22.03,3.49,5.91,0.47,0.02,99.19,0.81,99.7,0.29
176,1683,2,1648,8,205.94,0.16,36,1.1,2.02,0.19,2.9,0.05,0.1,0.06,90.91,9.09,97,2.97,0.09,7,0.12,0.14,0.03,2.6,0.04,55.64,19.77,10.32,6.56,14.76,85.94,85.38,0.08,0.06,33.33,66.67,57.1,42.86,0.32,5.31,1.55,666,1.82,1.6,31.5,25.8,0.04,3.26,6.4,0.53,0.26,54.56,2.9,0.29,0.28,103,1.78,51.7,0.81,6.8,0.1,6.21,10.43,5.49,86.89,14.78,8.06,7.66,3.25,1293,56,7.74,1.8,5.4,0.18,34.89,63.4,83.65,6.3,15.9,3.1,6.67,0.41,0.01,99.27,0.73,99.9,0.13
171,1605,2,1577,8,197.17,0.2,33,1,1.93,0.19,2.6,0.06,0.1,0.08,90,10,95.9,4.15,0.09,6,0.18,0.19,0.04,2.4,0.05,48,16.04,17.12,9.36,19.52,85.97,85.11,0.1,0.1,44.44,55.56,47.4,52.63,0.25,3.99,5.05,746,6.24,3.86,30.1,26.7,0.06,7.16,5.3,1.58,0.51,40.05,2.54,0.27,0.41,141,2.76,49.5,1.18,6.7,0.1,7.28,12.55,8.74,81.21,19.66,7.99,5.67,4.55,1598,49.3,11.7,2.68,6.3,0.34,37.56,66.11,72.56,8.92,20.76,3.49,8.96,0.81,0.03,98.36,1.64,99.7,0.26
169,1630,2,1597,8,199.63,0.15,46,0.9,1.86,0.29,3,0.03,0.13,0.08,85.56,14.44,95.7,4.3,0.06,10,0.14,0.25,0.04,2.8,0.03,38.07,20.14,14.79,12.78,13.11,86.68,87.58,0.1,0.08,28.57,71.43,68,32,0.46,7.29,1.9,583,2.34,1.94,33.2,27.2,0.02,5.79,5.64,1.19,0.48,52.29,4.05,0.28,0.29,135,1.74,50.5,1.12,5.6,0.04,5.69,8.4,5.68,79.8,11.35,5.36,3.61,4.9,2014,45.7,8.38,4.37,7.8,0.18,50.45,65.82,78.34,6.95,23.25,3.92,8.53,1.03,0.06,97.75,2.25,99.3,0.72
168,653,2,639,6.67,95.84,0.28,39,0.92,2.04,0.26,3.4,0.04,0.4,0.23,56.52,43.48,88.7,11.27,0.19,6,0.2,0.27,0.03,3.3,0.04,57.43,13.11,20.69,12.6,11.35,89.67,93.41,0.25,0.19,-25,125,29.6,70.37,0.39,2.46,1.7,526,2.14,2.64,33,27.6,0.01,2.08,4.65,0.9,0.5,48.91,3.04,0.09,0.3,266,3.48,51,1.65,5.5,0.04,3.2,20.49,12.69,83.9,21.3,5.27,3.29,10.8,2474,55.6,5.64,4.41,6.5,0.12,37.3,61.75,65.72,3.01,18.44,2.02,3.2,0.99,0.05,98.22,1.78,99.1,0.89
176,1615,2,1589,6.67,238.3,0.19,51,1.14,2.24,0.28,3,0.03,0.09,0.05,92.11,7.89,97.8,2.23,0.07,6,0.11,0.15,0.03,2.8,0.03,35.22,12.15,9.08,6.3,9.41,85.17,86.3,0.05,0.05,54.55,45.45,66.7,33.33,0.49,7.78,1.7,718,4.66,2.04,32.2,26.4,0.02,4.45,7.57,2,0.45,56.29,4.18,0.3,0.23,123,2.74,53.2,0.82,5.5,0.04,4.46,9.59,8.71,86.04,10.61,6.44,4.43,5.7,1792,49.9,8.82,3.62,7.1,0.16,55.87,70.69,80.22,7.22,23.69,4.21,8.97,0.54,0.03,98.92,1.08,99.7,0.34
172,1525,2,1494,8,186.79,0.19,37,1.03,1.88,0.2,3.1,0.03,0.17,0.11,83.5,16.5,94.1,5.85,0.06,7,0.16,0.15,0.04,2.9,0.03,33.9,17.2,14.7,7.6,18,87.9,87.5,0.12,0.09,25,75,40,60,0.29,4.28,4.7,936,9.3,3.64,29.9,25.6,0.04,8.02,6.95,2.59,0.55,42.83,2.34,0.35,0.38,101,1.54,48.3,0.78,6.4,0.06,7.31,8.46,4.83,82.98,12.6,6.61,5.96,5.1,1556,48,10.02,3.18,5.9,0.12,50.77,67.39,77.86,8.9,26.56,3.15,6.17,0.78,0.07,98.38,1.63,99.3,0.7
170,1589,2,1554,8,194.23,0.16,40,1.07,1.8,0.25,2.9,0.03,0.1,0.09,90.65,9.35,95,5,0.1,6,0.2,0.2,0,2.7,0,46.3,14.4,14.2,10,16,87.9,90.7,0.17,0.1,-6.25,106.25,47.4,52.63,0.34,5.35,3.4,657,2.86,2.02,33.4,26.8,0.02,8.13,5.71,0.92,0.39,45.96,3.16,0.22,0.22,137,2.42,51.5,1.08,5.7,0.04,4.41,9.99,6.52,82.52,12.46,5.63,3.67,3.5,1632,49.5,7.5,3.78,5.8,0.1,41.2,69.87,78.34,7.06,25.6,3.36,5.39,1.16,0.06,97.66,2.34,99.2,0.8
168,1575,2,1541,8,192.68,0.15,42,1,1.93,0.22,2.9,0.04,0.13,0.07,87,13,96.4,3.63,0.07,5,0.1,0.18,0.04,2.6,0.03,43,11.38,9.47,8.83,15.92,86.14,88.31,0.09,0.06,10,90,66.7,33.33,0.31,4.71,2.3,779,6.86,2.8,29.3,26.5,0.04,4.56,5.72,2.1,0.44,40.7,2.83,0.38,0.34,119,1.92,46.9,1.04,6.4,0.06,7.75,10.05,6.75,85.37,16.61,7.87,6.56,4.5,1980,53.4,6.76,3.85,5.9,0.1,44.68,72.84,81.69,5.36,26.77,3.16,4.76,1.23,0.04,97.7,2.3,99.4,0.59
162,1603,2,1566,8,195.74,0.17,40,0.99,1.91,0.26,2.9,0.03,0.12,0.07,87.88,12.12,96.3,3.66,0.07,7,0.17,0.29,0.04,2.6,0.03,38.3,17.03,16.34,14.45,12.81,87.27,93.92,0.1,0.09,41.18,58.82,69,31.03,0.56,8.83,3.7,864,9.3,2.78,28.3,25.6,0.04,11.99,12.45,5.3,0.82,61.37,5.09,0.74,0.24,127,2.04,50.9,0.97,5.1,0.02,4.13,9.72,6.17,79.75,11.16,5.38,1.97,6.2,1860,55.9,7.44,2.98,5,0.08,45.58,60.8,72.2,4.98,14.65,2.25,3.37,0.89,0.03,98.41,1.59,99.6,0.4
170,1639,2,1601,8,200.16,0.1,32,0.91,2.37,0.19,3.3,0.07,0.11,0.1,87.91,12.09,95.8,4.22,0.06,5,0.16,0.29,0.03,3,0.07,52.36,14.95,16.63,11.57,16.92,87.79,93.24,0.11,0.1,31.25,68.75,65.5,34.48,0.28,4.47,3,725,2.54,3.42,31.9,28.4,0.06,7.72,6.39,0.78,0.4,46.83,2.45,0.24,0.22,92,1.56,50.8,0.79,6.5,0.08,7.84,11.23,6.62,82.77,16.06,7.77,4.35,2.7,1657,53.7,9.68,2.98,5,0.12,32.08,67.43,75.97,5.26,20.19,1.99,2.18,0.79,0.03,98.53,1.47,99.7,0.31
168,1501,2,1468,8,183.47,0.1,34,0.81,2.09,0.24,3,0.03,0.07,0.06,91.36,8.64,97.1,2.87,0.04,7,0.13,0.24,0.04,2.7,0.03,40.84,19.85,15.24,10.9,13.85,85.94,90.26,0.11,0.1,15.38,84.62,58.3,41.67,0.32,4.76,1.2,603,1.62,2.14,32.7,29.3,0.04,4.18,5.84,0.65,0.33,44.18,3.18,0.41,0.22,97,1.44,51.3,0.91,6.8,0.04,8.02,9.82,6.03,83.24,12.86,7.73,4.3,3.3,1632,47.8,8.72,5.28,7.1,0.12,46.95,64.49,78.08,5.52,29.11,3.15,5.03,0.88,0.03,98.16,1.84,99.7,0.34
169,1600,2,1566,6,260.94,0.13,29,0.72,1.79,0.21,3.1,0.03,0.07,0.05,90.28,9.72,97.2,2.79,0.07,5,0.12,0.2,0.03,2.9,0.03,58.71,16.6,15.94,10.69,15.48,88.95,93.71,0.05,0.05,58.33,41.67,75,25,0.28,4.36,0.81,495,1.28,1.14,32.8,28.2,0.02,1.98,4.79,0.5,0.18,43.51,2.52,0.18,0.2,98,1.78,52.2,0.91,6.4,0.04,5.08,9.86,7.16,84.48,12.55,5.95,3.78,3.3,1674,46.5,7.04,5.05,6.8,0.06,34.23,68.75,76.4,4.65,28.45,2.58,2.32,0.66,0.02,98.58,1.42,99.7,0.28
